"","Geographic.Area","Sex","X2016_Proportion of health care facilities with basic health care waste management services","X2016_Proportion of health care facilities with limited health care waste management services","X2016_Proportion of health care facilities with no health care waste management service","X2016_Proportion of health care facilities with basic water services","X2016_Proportion of health care facilities with limited water services","X2016_Proportion of health care facilities with no water service","X2016_Proportion of schools with basic drinking water services","X2016_Proportion of schools with limited drinking water services","X2016_Proportion of schools with no drinking water service","X2017_Proportion of population using at least basic drinking water services","X2017_Proportion of population using improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using basic drinking water services","X2017_Proportion of the population using of improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using improved drinking water sources","X2017_Proportion of population using limited drinking water services","X2017_Proportion of population using non-piped improved drinking water sources","X2017_Proportion of population using improved drinking water sources located on premises","X2017_Proportion of population using piped drinking water sources","X2017_Proportion of population using safely managed drinking water services","X2017_Proportion of population using surface water","X2017_Proportion of population using unimproved drinking water sources","X2017_Proportion of population with a handwashing facility with soap and water available at home","X2017_Proportion of population with a limited handwashing facility","X2017_Proportion of population with no handwashing facility at home","X2017_Proportion of population using at least basic sanitation services","X2017_Proportion of population using basic sanitation services","X2017_Proportion of population using on-site sanitation facilities with human waste disposed in situ","X2017_Proportion of population using of on-site sanitation facilities with human waste treated off-site","X2017_Proportion of population using improved sanitation facilities"
"208","Greece","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,100,0,0,100,100,100,0,0,NA,NA,NA,NA,8.5920448,4.2960224,4.2960224,100
"209","Pakistan","Total",NA,NA,NA,NA,NA,NA,57.475121,8.1770849,34.347797,NA,NA,56.151104,35.314346,92.06498,0.59952921,63.692429,77.31633,28.372551,35.314346,2.078042,5.8569779,59.606911,31.961674,8.4314127,59.869495,NA,NA,NA,70.051712
"210","Saint Helena, Ascension and Tristan da Cunha","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8653803,89.184624,99.050003,0,0.94999999,98.575119,98.099998,89.184624,0,0.94999999,NA,NA,NA,100,NA,NA,NA,100
"211","Monaco","Total",NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,0,100,100,0,0,100,100,100,0,0,NA,NA,NA,NA,0,0,0,100
"212","Guadeloupe","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2876537,97.397751,99.685402,0,0.0069073606,99.570457,99.678497,97.397751,0,0.31459731,NA,NA,NA,99.610596,NA,NA,NA,99.610596
"213","Malta","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,100,0,0,100,100,100,0,0,NA,NA,NA,NA,6.9719305,0,0,99.955994
"214","Costa Rica","Total",NA,NA,NA,NA,NA,NA,81.809998,8.1797762,10.010224,NA,NA,5.8987169,93.802795,100,0.29848361,0.27152821,99.581009,99.72847,93.802795,0,2.4883013e-06,NA,NA,NA,97.818359,NA,NA,NA,98.33255
"215","Greenland","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2523139,97.569939,100,0,0,96.747681,100,96.747681,0,2.5327754e-06,NA,NA,NA,NA,4.7568803,2.1010268,2.0885317,100
"216","Finland","Total",NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,0.36687508,100,100,0,0,99.633125,100,99.633125,0,0,NA,NA,NA,NA,0.24209318,14.367449,0.23777008,99.999825
"217","Belarus","Total",NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,1.9625809,97.052513,99.814034,3.330061,6.911541,94.521393,92.902489,94.521393,0,0.18596797,NA,NA,NA,NA,17.275187,2.3819699,2.0025871,99.429985
"218","Iran (Islamic Republic of)","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4492517,92.272629,97.161163,1.9166174,4.7713985,91.795296,92.389763,91.795296,0.10226899,2.7365687,NA,NA,NA,88.421867,NA,NA,NA,98.055557
"219","Spain","Total",NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,1.4847891,98.44149,99.926277,0,0,99.926277,99.926277,98.44149,0,0.073721692,NA,NA,NA,NA,3.2840548,0,0,99.984375
"220","Réunion","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8207667,96.17923,100,0,0.037634198,99.678802,99.962364,96.17923,0,0,NA,NA,NA,99.602486,NA,NA,NA,99.602486
"221","Vanuatu","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.12648,44.130325,92.322861,1.066053,44.702076,50.312271,47.620781,44.130325,7.6771431,0,25.20915,42.827633,31.963219,34.067059,NA,NA,NA,68.613815
"222","Central African Republic","Total",NA,NA,NA,NA,NA,NA,15.95,7.8057461,76.244255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Saint Kitts and Nevis","Total",NA,NA,NA,NA,NA,NA,83.579353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Dominica","Total",NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Argentina","Total",NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Eritrea","Total",NA,NA,NA,NA,NA,NA,NA,NA,32.327885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
